Virome_Sample,Metagenome_Sample,Phylum,Microbe,Phage_Abundance,Microbial_Abundance,Phage_Prevalence,Microbial_Prevalence,Phage_Host_Co_Detections
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Bacillus,0.001760899,0,39,7,7
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Bacteroides,0.000113069,0,39,4,4
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Bdellovibrio,9.29E-06,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Bifidobacterium,8.75E-05,0,39,19,19
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Bordetella,0.000134861,0,38,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Spirochaetes,Brachyspira,2.47E-05,0,39,7,7
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Burkholderia,0.001107502,0,39,20,20
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Campylobacter,0.000298819,0,39,4,4
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,C_Pelagibacter,0.089554071,9.755652318,39,36,36
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,C_Puniceispirillum,0.003257106,0.527315919,39,15,15
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Carnobacterium,5.50E-06,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Cellulophaga,0.000263537,0,39,6,6
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Chromobacterium,6.55E-06,0,32,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Clavibacter,2.03E-05,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Clostridium,0.000958636,0.733943024,39,27,27
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Comamonas,2.31E-05,0,35,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Coprococcus,3.90E-06,0,31,14,11
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Corynebacterium,6.75E-05,0,39,7,7
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Croceibacter,1.89E-05,0.300335909,39,24,24
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Cyanobacteria,Cyanothece,0,0,36,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Deinococcus-Thermus,Deinococcus,8.27E-05,0,39,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Desulfovibrio,0.000289689,0,39,6,6
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Eubacterium,0.000562465,0,39,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Exiguobacterium,1.01E-05,0.011886152,36,22,21
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Flavobacterium,0.009097354,0,39,22,22
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Fusobacteria,Fusobacterium,0.000126907,0.049461448,39,26,26
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Gardnerella,4.73E-06,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Gluconobacter,3.63E-05,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Hahella,7.76E-06,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Haloferax,2.00E-05,0,37,15,13
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Haloquadratum,1.83E-06,2.883358254,9,38,9
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Helicobacter,3.34E-05,0,39,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Idiomarina,9.17E-06,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Lactobacillus,0.000425202,0,39,10,10
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Spirochaetes,Leptospira,0.000367261,0.898324835,39,36,36
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Fusobacteria,Leptotrichia,4.34E-05,0.338172984,39,6,6
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Leuconostoc,1.81E-05,0.529681928,39,28,28
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Listeria,0.000190663,0,39,4,4
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Magnetospirillum,0.000101915,0.017515592,39,19,19
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Marinomonas,5.50E-06,1.05384523,37,21,20
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Crenarchaeota,Metallosphaera,2.77E-06,0,25,4,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Methanobacterium,9.17E-07,0.507419397,21,36,20
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Methanobrevibacter,9.23E-06,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Methanothermobacter,3.67E-06,0,34,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Methylophaga,2.75E-06,0,34,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Moraxella,5.22E-05,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Mycobacterium,0.002228011,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Tenericutes,Mycoplasma,9.18E-06,0,39,31,31
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Myxococcus,3.38E-05,0.114850925,38,36,35
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Euryarchaeota,Natrialba,1.86E-05,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Neisseria,0.000258816,0,39,7,7
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Olsenella,1.28E-05,0,37,11,10
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Phaeobacter,9.17E-06,0,34,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Planctomycetes,Planctomyces,1.19E-05,0,30,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Porphyromonas,1.28E-05,0.098035485,35,22,19
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Prevotella,7.77E-05,0,39,16,16
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Cyanobacteria,Prochlorococcus,0.040483528,22.01095071,39,39,39
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Propionibacterium,6.69E-05,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Pseudoalteromonas,0.000134033,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Psychrobacter,8.26E-06,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Rhizobium,0.000101802,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Rhodobacter,0.000321685,0.016909236,39,11,11
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Planctomycetes,Rhodopirellula,1.49E-05,0.13756022,35,23,20
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Riemerella,5.58E-05,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Roseburia,5.52E-06,0,39,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Ruegeria,4.96E-05,0.183154411,39,10,10
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Bacteroidetes,Salinibacter,1.83E-06,0,19,3,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Selenomonas,3.16E-05,0,39,6,6
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Serratia,7.31E-05,0,39,4,4
